2025-08-18 17:59:02,649 - INFO - Starting extraction...
2025-08-18 18:01:20,862 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,70.plain.html
2025-08-18 18:01:22,862 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,71.plain.html
2025-08-18 18:01:24,860 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,72.plain.html
2025-08-18 18:01:26,908 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,73.plain.html
2025-08-18 18:01:28,900 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,74.plain.html
2025-08-18 18:01:30,861 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,75.plain.html
2025-08-18 18:01:32,919 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,76.plain.html
2025-08-18 18:01:34,863 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,77.plain.html
2025-08-18 18:01:36,869 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,78.plain.html
2025-08-18 18:01:38,869 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,79.plain.html
2025-08-18 18:01:40,869 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,80.plain.html
2025-08-18 18:01:42,916 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,81.plain.html
2025-08-18 18:01:44,877 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,82.plain.html
2025-08-18 18:01:46,873 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,83.plain.html
2025-08-18 18:01:48,872 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,84.plain.html
2025-08-18 18:01:50,885 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,85.plain.html
2025-08-18 18:01:52,922 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,86.plain.html
2025-08-18 18:01:54,874 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,87.plain.html
2025-08-18 18:01:57,165 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,88.plain.html
2025-08-18 18:01:58,925 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,89.plain.html
2025-08-18 18:02:00,932 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,90.plain.html
2025-08-18 18:02:02,932 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,91.plain.html
2025-08-18 18:02:04,887 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,92.plain.html
2025-08-18 18:02:06,904 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,93.plain.html
2025-08-18 18:02:08,926 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,94.plain.html
2025-08-18 18:02:10,887 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,95.plain.html
2025-08-18 18:02:13,029 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,96.plain.html
2025-08-18 18:02:14,890 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,97.plain.html
2025-08-18 18:02:16,892 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,98.plain.html
2025-08-18 18:02:18,894 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,99.plain.html
2025-08-18 18:02:20,900 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,100.plain.html
2025-08-18 18:02:23,013 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,101.plain.html
2025-08-18 18:02:24,910 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,102.plain.html
2025-08-18 18:02:26,912 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,103.plain.html
2025-08-18 18:02:28,938 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,104.plain.html
2025-08-18 18:02:30,916 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,105.plain.html
2025-08-18 18:02:32,905 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,106.plain.html
2025-08-18 18:02:34,901 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,107.plain.html
2025-08-18 18:02:37,247 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,108.plain.html
2025-08-18 18:02:39,292 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,109.plain.html
2025-08-18 18:02:40,938 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,110.plain.html
2025-08-18 18:02:42,939 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,111.plain.html
2025-08-18 18:02:44,907 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,112.plain.html
2025-08-18 18:02:46,913 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,113.plain.html
2025-08-18 18:02:48,936 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,114.plain.html
2025-08-18 18:02:50,914 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,115.plain.html
2025-08-18 18:02:52,916 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,116.plain.html
2025-08-18 18:02:54,917 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,117.plain.html
2025-08-18 18:02:57,013 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,118.plain.html
2025-08-18 18:02:58,965 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,119.plain.html
2025-08-18 18:03:00,971 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,120.plain.html
2025-08-18 18:03:03,017 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,121.plain.html
2025-08-18 18:03:04,954 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,122.plain.html
2025-08-18 18:03:06,974 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,123.plain.html
2025-08-18 18:03:09,017 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,124.plain.html
2025-08-18 18:03:10,923 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,125.plain.html
2025-08-18 18:03:12,931 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,126.plain.html
2025-08-18 18:03:14,918 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,127.plain.html
2025-08-18 18:03:16,926 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,128.plain.html
2025-08-18 18:03:18,932 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,129.plain.html
2025-08-18 18:03:20,956 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,130.plain.html
2025-08-18 18:03:22,933 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,131.plain.html
2025-08-18 18:03:24,933 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,132.plain.html
2025-08-18 18:03:26,934 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,133.plain.html
2025-08-18 18:03:28,931 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,134.plain.html
2025-08-18 18:03:30,995 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,135.plain.html
2025-08-18 18:03:32,983 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,136.plain.html
2025-08-18 18:03:35,029 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,137.plain.html
2025-08-18 18:03:36,938 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,138.plain.html
2025-08-18 18:03:38,947 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,139.plain.html
2025-08-18 18:03:40,952 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,140.plain.html
2025-08-18 18:03:42,940 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,141.plain.html
2025-08-18 18:03:44,941 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,142.plain.html
2025-08-18 18:03:46,947 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,143.plain.html
2025-08-18 18:03:48,985 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,144.plain.html
2025-08-18 18:03:50,954 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,145.plain.html
2025-08-18 18:03:52,948 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,146.plain.html
2025-08-18 18:03:54,947 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,147.plain.html
2025-08-18 18:03:56,948 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,148.plain.html
2025-08-18 18:03:59,052 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,149.plain.html
2025-08-18 18:04:00,957 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,150.plain.html
2025-08-18 18:04:02,960 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,151.plain.html
2025-08-18 18:04:04,957 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,152.plain.html
2025-08-18 18:04:07,007 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,153.plain.html
2025-08-18 18:04:08,959 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,154.plain.html
2025-08-18 18:04:10,961 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,155.plain.html
2025-08-18 18:04:12,994 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,156.plain.html
2025-08-18 18:04:15,022 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,157.plain.html
2025-08-18 18:04:17,015 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,158.plain.html
2025-08-18 18:04:19,018 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,159.plain.html
2025-08-18 18:04:21,013 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,160.plain.html
2025-08-18 18:04:22,968 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,161.plain.html
2025-08-18 18:04:24,971 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,162.plain.html
2025-08-18 18:04:26,969 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,163.plain.html
2025-08-18 18:04:29,052 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,164.plain.html
2025-08-18 18:04:30,979 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,165.plain.html
2025-08-18 18:04:32,974 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,166.plain.html
2025-08-18 18:04:35,007 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,167.plain.html
2025-08-18 18:04:36,974 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,168.plain.html
2025-08-18 18:04:38,978 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,169.plain.html
2025-08-18 18:04:40,977 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,170.plain.html
2025-08-18 18:04:42,979 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,171.plain.html
2025-08-18 18:04:44,994 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,172.plain.html
2025-08-18 18:04:46,983 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,173.plain.html
2025-08-18 18:04:48,987 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,174.plain.html
2025-08-18 18:04:51,002 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,175.plain.html
2025-08-18 18:04:53,337 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,176.plain.html
2025-08-18 18:04:54,989 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,177.plain.html
2025-08-18 18:04:57,047 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,178.plain.html
2025-08-18 18:04:59,028 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,179.plain.html
2025-08-18 18:05:00,994 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,180.plain.html
2025-08-18 18:05:03,042 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,181.plain.html
2025-08-18 18:05:04,999 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,182.plain.html
2025-08-18 18:05:07,003 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,183.plain.html
2025-08-18 18:05:09,005 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,184.plain.html
2025-08-18 18:05:11,045 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,185.plain.html
2025-08-18 18:05:13,020 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,186.plain.html
2025-08-18 18:05:15,034 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,187.plain.html
2025-08-18 18:05:16,996 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,188.plain.html
2025-08-18 18:05:19,061 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,189.plain.html
2025-08-18 18:05:21,050 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,190.plain.html
2025-08-18 18:05:23,044 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,191.plain.html
2025-08-18 18:05:25,040 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,192.plain.html
2025-08-18 18:05:27,005 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,193.plain.html
2025-08-18 18:05:29,011 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,194.plain.html
2025-08-18 18:05:31,069 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,195.plain.html
2025-08-18 18:05:33,014 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,196.plain.html
2025-08-18 18:05:35,065 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,197.plain.html
2025-08-18 18:05:37,018 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,198.plain.html
2025-08-18 18:05:39,066 - WARNING - HTTP 500 for http://ancientsource.daphnet.iliesi.cnr.it/texts/Presocratics/1-A,199.plain.html
