Order,Philosopher,Text,Hyperlink
22,Pherekydes Von Syros,7-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/152?data-title=7-A+transcription&data-verticalTitle=7-A+transcription&data-type=book&data-id=book_transcription_152&data-boxTitle=7-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F152&data-maxWidth=300
24,Pherekydes Von Syros,7-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/153?data-title=7-B+transcription&data-verticalTitle=7-B+transcription&data-type=book&data-id=book_transcription_153&data-boxTitle=7-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F153&data-maxWidth=300
26,Theagenes,8-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/154?data-title=8-A+transcription&data-verticalTitle=8-A+transcription&data-type=book&data-id=book_transcription_154&data-boxTitle=8-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F154&data-maxWidth=300
28,Akusilaos,9-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/12?data-title=9-A+transcription&data-verticalTitle=9-A+transcription&data-type=book&data-id=book_transcription_12&data-boxTitle=9-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F12&data-maxWidth=300
30,Akusilaos,9-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/13?data-title=9-B+transcription&data-verticalTitle=9-B+transcription&data-type=book&data-id=book_transcription_13&data-boxTitle=9-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F13&data-maxWidth=300
32,Die Sieben Weisen,10-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/11?data-title=10-A+transcription&data-verticalTitle=10-A+transcription&data-type=book&data-id=book_transcription_11&data-boxTitle=10-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F11&data-maxWidth=300
34,Thales,11-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/148?data-title=11-A+transcription&data-verticalTitle=11-A+transcription&data-type=book&data-id=book_transcription_148&data-boxTitle=11-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F148&data-maxWidth=300
36,Thales,11-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/149?data-title=11-B+transcription&data-verticalTitle=11-B+transcription&data-type=book&data-id=book_transcription_149&data-boxTitle=11-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F149&data-maxWidth=300
38,Anaximandros,12-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/18?data-title=12-A+transcription&data-verticalTitle=12-A+transcription&data-type=book&data-id=book_transcription_18&data-boxTitle=12-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F18&data-maxWidth=300
40,Anaximandros,12-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/19?data-title=12-B+transcription&data-verticalTitle=12-B+transcription&data-type=book&data-id=book_transcription_19&data-boxTitle=12-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F19&data-maxWidth=300
42,Anaximandros,12-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/20?data-title=12-C+transcription&data-verticalTitle=12-C+transcription&data-type=book&data-id=book_transcription_20&data-boxTitle=12-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F20&data-maxWidth=300
44,Anaximenes,13-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/21?data-title=13-A+transcription&data-verticalTitle=13-A+transcription&data-type=book&data-id=book_transcription_21&data-boxTitle=13-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F21&data-maxWidth=300
46,Pythagoras,14-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/137?data-title=14-A+transcription&data-verticalTitle=14-A+transcription&data-type=book&data-id=book_transcription_137&data-boxTitle=14-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F137&data-maxWidth=300
48,Anaximenes,13-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/22?data-title=13-B+transcription&data-verticalTitle=13-B+transcription&data-type=book&data-id=book_transcription_22&data-boxTitle=13-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F22&data-maxWidth=300
50,Kerkops,15-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/129?data-title=15-A+transcription&data-verticalTitle=15-A+transcription&data-type=book&data-id=book_transcription_129&data-boxTitle=15-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F129&data-maxWidth=300
52,Petron,16-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/133?data-title=16-A+transcription&data-verticalTitle=16-A+transcription&data-type=book&data-id=book_transcription_133&data-boxTitle=16-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F133&data-maxWidth=300
54,Bro(N)Tinos,17-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/142?data-title=17-A+transcription&data-verticalTitle=17-A+transcription&data-type=book&data-id=book_transcription_142&data-boxTitle=17-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F142&data-maxWidth=300
56,Hippasos,18-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/77?data-title=18-A+transcription&data-verticalTitle=18-A+transcription&data-type=book&data-id=book_transcription_77&data-boxTitle=18-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F77&data-maxWidth=300
58,Kalliphon Und Demokedes,19-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/32?data-title=19-A+transcription&data-verticalTitle=19-A+transcription&data-type=book&data-id=book_transcription_32&data-boxTitle=19-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F32&data-maxWidth=300
60,Parm(En)Iskos,20-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/138?data-title=20-A+transcription&data-verticalTitle=20-A+transcription&data-type=book&data-id=book_transcription_138&data-boxTitle=20-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F138&data-maxWidth=300
62,Xenophanes,21-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/112?data-title=21-A+transcription&data-verticalTitle=21-A+transcription&data-type=book&data-id=book_transcription_112&data-boxTitle=21-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F112&data-maxWidth=300
64,Xenophanes,21-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/113?data-title=21-B+transcription&data-verticalTitle=21-B+transcription&data-type=book&data-id=book_transcription_113&data-boxTitle=21-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F113&data-maxWidth=300
66,Xenophanes,21-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/114?data-title=21-C+transcription&data-verticalTitle=21-C+transcription&data-type=book&data-id=book_transcription_114&data-boxTitle=21-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F114&data-maxWidth=300
68,Herakleitos,22-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/59?data-title=22-B+transcription&data-verticalTitle=22-B+transcription&data-type=book&data-id=book_transcription_59&data-boxTitle=22-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F59&data-maxWidth=300
70,Herakleitos,22-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/58?data-title=22-A+transcription&data-verticalTitle=22-A+transcription&data-type=book&data-id=book_transcription_58&data-boxTitle=22-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F58&data-maxWidth=300
72,Herakleitos,22-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/60?data-title=22-C+transcription&data-verticalTitle=22-C+transcription&data-type=book&data-id=book_transcription_60&data-boxTitle=22-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F60&data-maxWidth=300
74,Epicharmos,23-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/54?data-title=23-A+transcription&data-verticalTitle=23-A+transcription&data-type=book&data-id=book_transcription_54&data-boxTitle=23-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F54&data-maxWidth=300
76,Epicharmos,23-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/55?data-title=23-B+transcription&data-verticalTitle=23-B+transcription&data-type=book&data-id=book_transcription_55&data-boxTitle=23-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F55&data-maxWidth=300
78,Alkmaion,24-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/14?data-title=24-A+transcription&data-verticalTitle=24-A+transcription&data-type=book&data-id=book_transcription_14&data-boxTitle=24-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F14&data-maxWidth=300
80,Ikkos,25-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/72?data-title=25-A+transcription&data-verticalTitle=25-A+transcription&data-type=book&data-id=book_transcription_72&data-boxTitle=25-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F72&data-maxWidth=300
82,Alkmaion,24-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/15?data-title=24-B+transcription&data-verticalTitle=24-B+transcription&data-type=book&data-id=book_transcription_15&data-boxTitle=24-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F15&data-maxWidth=300
84,Paron,26-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/132?data-title=26-A+transcription&data-verticalTitle=26-A+transcription&data-type=book&data-id=book_transcription_132&data-boxTitle=26-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F132&data-maxWidth=300
86,Ameinias,27-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/126?data-title=27-A+transcription&data-verticalTitle=27-A+transcription&data-type=book&data-id=book_transcription_126&data-boxTitle=27-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F126&data-maxWidth=300
88,Parmenides,28-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/143?data-title=28-A+transcription&data-verticalTitle=28-A+transcription&data-type=book&data-id=book_transcription_143&data-boxTitle=28-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F143&data-maxWidth=300
90,Parmenides,28-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/144?data-title=28-B+transcription&data-verticalTitle=28-B+transcription&data-type=book&data-id=book_transcription_144&data-boxTitle=28-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F144&data-maxWidth=300
92,Zenon,29-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/121?data-title=29-A+transcription&data-verticalTitle=29-A+transcription&data-type=book&data-id=book_transcription_121&data-boxTitle=29-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F121&data-maxWidth=300
94,Zenon,29-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/122?data-title=29-B+transcription&data-verticalTitle=29-B+transcription&data-type=book&data-id=book_transcription_122&data-boxTitle=29-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F122&data-maxWidth=300
96,Melissos,30-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/88?data-title=30-A+transcription&data-verticalTitle=30-A+transcription&data-type=book&data-id=book_transcription_88&data-boxTitle=30-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F88&data-maxWidth=300
98,Melissos,30-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/89?data-title=30-B+transcription&data-verticalTitle=30-B+transcription&data-type=book&data-id=book_transcription_89&data-boxTitle=30-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F89&data-maxWidth=300
100,Empedokles,31-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/123?data-title=31-C+transcription&data-verticalTitle=31-C+transcription&data-type=book&data-id=book_transcription_123&data-boxTitle=31-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F123&data-maxWidth=300
102,Empedokles,31-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/51?data-title=31-A+transcription&data-verticalTitle=31-A+transcription&data-type=book&data-id=book_transcription_51&data-boxTitle=31-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F51&data-maxWidth=300
104,Menestor,32-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/90?data-title=32-A+transcription&data-verticalTitle=32-A+transcription&data-type=book&data-id=book_transcription_90&data-boxTitle=32-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F90&data-maxWidth=300
106,Empedokles,31-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/52?data-title=31-B+transcription&data-verticalTitle=31-B+transcription&data-type=book&data-id=book_transcription_52&data-boxTitle=31-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F52&data-maxWidth=300
108,Xuthos,33-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/136?data-title=33-A+transcription&data-verticalTitle=33-A+transcription&data-type=book&data-id=book_transcription_136&data-boxTitle=33-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F136&data-maxWidth=300
110,Boidas,34-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/127?data-title=34-A+transcription&data-verticalTitle=34-A+transcription&data-type=book&data-id=book_transcription_127&data-boxTitle=34-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F127&data-maxWidth=300
112,Thrasyalkes,35-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/118?data-title=35-A+transcription&data-verticalTitle=35-A+transcription&data-type=book&data-id=book_transcription_118&data-boxTitle=35-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F118&data-maxWidth=300
114,Ion Von Chios,36-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/74?data-title=36-A+transcription&data-verticalTitle=36-A+transcription&data-type=book&data-id=book_transcription_74&data-boxTitle=36-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F74&data-maxWidth=300
116,Ion Von Chios,36-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/75?data-title=36-B+transcription&data-verticalTitle=36-B+transcription&data-type=book&data-id=book_transcription_75&data-boxTitle=36-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F75&data-maxWidth=300
118,Ion Von Chios,36-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/76?data-title=36-C+transcription&data-verticalTitle=36-C+transcription&data-type=book&data-id=book_transcription_76&data-boxTitle=36-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F76&data-maxWidth=300
120,Damon,37-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/37?data-title=37-A+transcription&data-verticalTitle=37-A+transcription&data-type=book&data-id=book_transcription_37&data-boxTitle=37-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F37&data-maxWidth=300
122,Hippon,38-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/82?data-title=38-A+transcription&data-verticalTitle=38-A+transcription&data-type=book&data-id=book_transcription_82&data-boxTitle=38-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F82&data-maxWidth=300
124,Damon,37-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/38?data-title=37-B+transcription&data-verticalTitle=37-B+transcription&data-type=book&data-id=book_transcription_38&data-boxTitle=37-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F38&data-maxWidth=300
126,Hippon,38-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/83?data-title=38-B+transcription&data-verticalTitle=38-B+transcription&data-type=book&data-id=book_transcription_83&data-boxTitle=38-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F83&data-maxWidth=300
128,Phaleas U. Hippodamos,39-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/64?data-title=39-A+transcription&data-verticalTitle=39-A+transcription&data-type=book&data-id=book_transcription_64&data-boxTitle=39-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F64&data-maxWidth=300
130,Polykleitos,40-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/100?data-title=40-A+transcription&data-verticalTitle=40-A+transcription&data-type=book&data-id=book_transcription_100&data-boxTitle=40-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F100&data-maxWidth=300
132,Polykleitos,40-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/101?data-title=40-B+transcription&data-verticalTitle=40-B+transcription&data-type=book&data-id=book_transcription_101&data-boxTitle=40-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F101&data-maxWidth=300
134,Oinopides,41-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/53?data-title=41-A+transcription&data-verticalTitle=41-A+transcription&data-type=book&data-id=book_transcription_53&data-boxTitle=41-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F53&data-maxWidth=300
136,Hippokrates V. Chios. Aischylos,42-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/81?data-title=42-A+transcription&data-verticalTitle=42-A+transcription&data-type=book&data-id=book_transcription_81&data-boxTitle=42-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F81&data-maxWidth=300
138,Theodoros,43-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/116?data-title=43-A+transcription&data-verticalTitle=43-A+transcription&data-type=book&data-id=book_transcription_116&data-boxTitle=43-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F116&data-maxWidth=300
140,Philolaos,44-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/65?data-title=44-A+transcription&data-verticalTitle=44-A+transcription&data-type=book&data-id=book_transcription_65&data-boxTitle=44-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F65&data-maxWidth=300
142,Philolaos,44-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/66?data-title=44-B+transcription&data-verticalTitle=44-B+transcription&data-type=book&data-id=book_transcription_66&data-boxTitle=44-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F66&data-maxWidth=300
144,Eurytos,45-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/63?data-title=45-A+transcription&data-verticalTitle=45-A+transcription&data-type=book&data-id=book_transcription_63&data-boxTitle=45-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F63&data-maxWidth=300
146,Archytas,47-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/124?data-title=47-A+transcription&data-verticalTitle=47-A+transcription&data-type=book&data-id=book_transcription_124&data-boxTitle=47-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F124&data-maxWidth=300
148,Archytas,47-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/125?data-title=47-B+transcription&data-verticalTitle=47-B+transcription&data-type=book&data-id=book_transcription_125&data-boxTitle=47-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F125&data-maxWidth=300
150,Archippos. Lysis. Opsimos.,46-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/30?data-title=46-A+transcription&data-verticalTitle=46-A+transcription&data-type=book&data-id=book_transcription_30&data-boxTitle=46-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F30&data-maxWidth=300
152,Okkelos,48-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/99?data-title=48-A+transcription&data-verticalTitle=48-A+transcription&data-type=book&data-id=book_transcription_99&data-boxTitle=48-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F99&data-maxWidth=300
154,Timaios,49-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/117?data-title=49-A+transcription&data-verticalTitle=49-A+transcription&data-type=book&data-id=book_transcription_117&data-boxTitle=49-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F117&data-maxWidth=300
156,Hiketas,50-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/73?data-title=50-A+transcription&data-verticalTitle=50-A+transcription&data-type=book&data-id=book_transcription_73&data-boxTitle=50-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F73&data-maxWidth=300
158,Xenophilos,52-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/115?data-title=52-A+transcription&data-verticalTitle=52-A+transcription&data-type=book&data-id=book_transcription_115&data-boxTitle=52-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F115&data-maxWidth=300
160,Ekphantos,51-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/50?data-title=51-A+transcription&data-verticalTitle=51-A+transcription&data-type=book&data-id=book_transcription_50&data-boxTitle=51-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F50&data-maxWidth=300
162,Proros. Amykias. Kleinias.,54-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/139?data-title=54-A+transcription&data-verticalTitle=54-A+transcription&data-type=book&data-id=book_transcription_139&data-boxTitle=54-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F139&data-maxWidth=300
164,Damon Und Phintias,55-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/130?data-title=55-A+transcription&data-verticalTitle=55-A+transcription&data-type=book&data-id=book_transcription_130&data-boxTitle=55-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F130&data-maxWidth=300
166,Diokles. Echekrates. Polymnastos. Phanton. Arion.,53-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/42?data-title=53-A+transcription&data-verticalTitle=53-A+transcription&data-type=book&data-id=book_transcription_42&data-boxTitle=53-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F42&data-maxWidth=300
168,Simos. Myonides. Euphranor.,56-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/145?data-title=56-A+transcription&data-verticalTitle=56-A+transcription&data-type=book&data-id=book_transcription_145&data-boxTitle=56-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F145&data-maxWidth=300
170,Lykon,57-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/87?data-title=57-A+transcription&data-verticalTitle=57-A+transcription&data-type=book&data-id=book_transcription_87&data-boxTitle=57-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F87&data-maxWidth=300
172,Anonyme Pythagoreer,58-B,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/108?data-title=58-B+transcription&data-verticalTitle=58-B+transcription&data-type=book&data-id=book_transcription_108&data-boxTitle=58-B+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F108&data-maxWidth=300
174,Pythagoreische Schule: A. Katalog Des Iamblichos,58-A,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/107?data-title=58-A+transcription&data-verticalTitle=58-A+transcription&data-type=book&data-id=book_transcription_107&data-boxTitle=58-A+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F107&data-maxWidth=300
176,: C. Ακουσματα Και Συμβολα,58-C,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/111?data-title=58-C+transcription&data-verticalTitle=58-C+transcription&data-type=book&data-id=book_transcription_111&data-boxTitle=58-C+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F111&data-maxWidth=300
178,: D. Εκ Των Αριστοξενου Πυθαγορικων Αποφασεων Και Πυθαγορικου Βιου,58-D,http://ancientsource.daphnet.iliesi.cnr.it/agora_show_book_transcription/109?data-title=58-D+transcription&data-verticalTitle=58-D+transcription&data-type=book&data-id=book_transcription_109&data-boxTitle=58-D+transcription&data-replaceContent=&data-url=%2Fagora_show_book_transcription%2F109&data-maxWidth=300
